Date,Description,Debit,Credit,Balance
2025-05-01,Salary Deposit,,4500.00,12500.00
2025-05-02,Woolworths Groceries,85.40,,12414.60
2025-05-03,Netflix Subscription,16.99,,12397.61
2025-05-05,Shell Petrol,72.50,,12325.11
2025-05-08,Uber Ride,24.80,,12300.31
2025-05-10,Electricity Bill,156.00,,12144.31
2025-05-12,Cafe Dining,18.50,,12125.81
2025-05-15,Transfer to Savings,500.00,,11625.81
2025-05-18,Amazon Shopping,67.99,,11557.82
2025-05-22,Doctor Visit,45.00,,11512.82
2025-05-25,Gym Membership,29.99,,11482.83
2025-05-28,Interest Earned,,12.45,11495.28
